job_role,title,description,tags,new_title
artificial intelligence,Leadership Role - Product Management - Artificial Intelligence - Mobile Apps (6-10 yrs),"<p>Opportunity for a Product Management position with the booming AI platform.
<br/>
<br/>Position: Product Manager_Mobile
<br/>
<br/>Domain: Artificial Intelligence_Product management
<br/>
<br/>Experience: 6+ Years (minimum 4 Years into product Management)
<br/>
<br/>Mandatory to have: Exposure in Mobile Product Management
<br/>
<br/>Job Responsibilities
<br/>
<br/>1. Defining the value proposition for the application. What value does the application promise its users-  Why should people use this application and what value will users derive by using this application.
<br/>
<br/>2. Conduct extensive research of the domain to understand other similar applications available to consumers and their strengths and weaknesses; assess the gap between consumer expectations and what is available to them from competing applications.
<br/>
<br/>3. Define a distinctive positioning for the application in line with the value it provides to the end user, its unique features and functionality and differentiation from other such applications.
<br/>
<br/>4. Define a detailed list of features and functionality for the voice application, organize and prioritize them for implementation.
<br/>
<br/>5. Build wireframes for top-level conversation flow.
<br/>
<br/>6. Work with engineering teams and conversation designers. Work with conversation designers to improve the conversation quality and make conversations more human- like. Work with engineering teams to understand and leverage platform capabilities and features in order to create compelling conversational experiences that are human like.
<br/>
<br/>7. Research all data sources in specific domain areas to identify structured and unstructured data sources for the application.
<br/>
<br/>8. Identify the categories of questions that the application should be capable of answering in a domain. Work with the engineering team to identify sources of structured and unstructured data that will help in answering these questions. 
<br/>
<br/>9. Create product notes and product specifications. Write product descriptions for the application on app stores. 
<br/>
<br/>10. Review user feedback everyday, respond to user comments, address user issues, and prioritize bug fixes and product features based on user feedback.
<br/>
<br/>11. Create marketing content like demo videos and other content to demonstrate the capability of the application. Find effective ways to distribute this content to target audience.
<br/>
<br/>Skills and Qualifications:
<br/>
<br/>1. Ability to think from end-consumer's point of view. Understanding the customer deeply and ability to step into her/his shoes.
<br/>
<br/>2. Logical thinking ability to build wireframes and flowcharts for conversations and dialogs.
<br/>
<br/>3. Basic understanding of markup text editors like Sublime Text is desirable. People with logical thinking ability can learn this skill in a week's time.
<br/>
<br/>4. Knowledge of the application domain - recipes, basketball, cricket, movies, news etc.</p>","['IT Product Management', 'Artificial Intelligence', 'Online Product Management']",leadership role product management artificial intelligence mobile apps yrs
artificial intelligence,Head - Data Science & Emerging Artificial Intelligence (10-20 yrs),"<p>Basic Function / Job Responsibilities
<br/>
<br/>Operational/Executive Management
<br/>
<br/>-  Define CoE strategy and roadmap to develop a vibrant DS & AI ecosystem in the country and realize the vision and objectives of
<br/>
<br/>-  Identifies opportunities of collaboration. Adopt a - String of Pearls-  approach to build a powerful eco-system of stakeholders across Innovators, Technology players, ISPs, Academia & Government for the enable the CoE to be the catalyst for innovation, research, adoption, and skill & talent development 
<br/>
<br/>-  Identify and raise funds from Government industry partners to grow the CoE towards a self-sustaining basis over five (5) years of its operation
<br/>
<br/>-  Implements common COE vision, oversees the execution of the CoE business strategy, and manages all resources including people, process, infrastructure, to deliver the agreed deliverables and create value to the industry, government, and academia partners 
<br/>
<br/>-  Lead efforts to develop DS & AI policies
<br/>
<br/>-  Manages relationship with external agencies, partners, and government as appropriate to enable smooth operations and profitable growth of CoE activities
<br/>
<br/>-  Explores alliances with international organizations & bodies to enhance the capabilities of DS & AI in the country 
<br/>
<br/>-  Represents the CoE to the public and outside groups, organizations, and agencies; responds to a wide variety of questions and comments
<br/>
<br/>Managerial Excellence
<br/>
<br/>-  Sets direction and vision for the business, team and helps them achieve/excel
<br/>
<br/>-  Identify, build, and nurture a collaborative network of organizations towards developing a vibrant DS & AI ecosystem
<br/>
<br/>-  Defines & manages CoE's positioning both externally and internally
<br/>
<br/>-  Promotes a mindset within CoE for sustained success, profitable growth and diversity
<br/>
<br/>-  Continually enhances own skills and builds knowledge in all aspects of the organization, the business and information system
<br/>
<br/>Knowledge, Skills,
<br/>
<br/>Qualifications and Experience
<br/>
<br/>-  Management degree (MBA - Strategy / Systems/ Marketing/ General) from Tier-1 institute) with understand of technology
<br/>
<br/>-  Overall experience of over 20 yrs (Strategy Development, Program Management, Business Management experience) of which at least 4 years in building an ecosystem integrating various stakeholders including industry, academia, and government
<br/>
<br/>-  Led programs with at-least one project of revenue of over TCV $20M USD spread over multiple geographies and domains
<br/>
<br/>-  Appreciation of deep technology areas like Data Science, AI and associated products
<br/>
<br/>-  Project / Program Management Process (PMP)
<br/>
<br/>-  Talent Management process (recruitment/selection, performance management, coaching, reward/ recognition)</p>","['Data Science', 'Artificial Intelligence', 'IT Project Management', 'PMP']",head data science emerging artificial intelligence yrs
artificial intelligence,DevOps Automation Architect - Artificial Intelligence/Machine Learning - Enterprise Automation Solutions  (10-15 yrs),"<p>Position: DevOps Automation Architect(AI/ML)
<br/>
<br/>Location: Greater Noida
<br/>
<br/>Experience range : 10-14 years
<br/>
<br/>- Strong understanding of SDLC lifecycle and past experience of implementing automation solutions in areas like DevOps, Infrastructure automation, IP operations automation, robotic automation, cognitive computing, etc 
<br/>
<br/>- Expertise in architecting and designing automation solutions along with standards/guidelines 
<br/>
<br/>- Possess technical knowledge in following (two or more) areas - Artificial Intelligence / Machine Learning / NLP, RPA, DevOps, Infrastructure automation, IT Operations, Service Desk, Analytics, etc 
<br/>
<br/>  Expertise or knowledge in one or more of the following tools in each category   - 
<br/>
<br/>- Configuration Management and ARA: Chef, Puppet, Ansible, CA Release Automation, CA Agile Designer, XL Deploy, Jenkins, TFS, Octopus Deploy, etc 
<br/>
<br/>Cloud hosting solutions : AWS, Azure, Google Cloud, etc 
<br/>
<br/>IT operations and Service Desk : ServiceNow, AppDynamics, Dynatrace, Splunk, Nagios, Zabbix, Vistara, etc 
<br/>
<br/>RPA : UIPath, Automation Anywhere, BluePrism, WorkFusion, Sikuli, etc 
<br/>
<br/>- AI based tools for automation using Machine Learning, NLI, NLP, etc 
<br/>
<br/>- Provide technical leadership and guidance to team 
<br/>
<br/>- Possess strong communication and presentation skills 
<br/>
<br/>  Optional Skills (good to have)  : 
<br/>
<br/>- Prior consulting, advisory, or professional services experience on automation 
<br/>
