Words,Count,Tags
machine learning,58,skills
product management,29,roles
problem solving,24,skills
big data,19,skills
track record,18,roles
computer science,17,skills
product manager,16,roles
artificial intelligence,16,skills
r python,15,skills
business analyst,14,roles
business analyst,14,skills
data mining,14,skills
business problems,13,roles
deep learning,13,skills
continuous improvement,12,skills
aws azure,12,skills
business development,12,roles
business requirements,12,roles
data analytics,11,skills
project management,11,skills
project management,11,roles
support delivery,11,roles
delivery partners,11,roles
data scientist,11,skills
experience managing,11,roles
experience,361,skills
business,281,roles
data,186,skills
management,168,roles
team,133,roles
cloud,129,skills
development,101,roles
solutions,100,roles
analytics,98,skills
marketing,80,skills
marketing,80,roles
support,80,roles
customer,70,roles
requirements,68,roles
teams,66,skills
products,62,skills
communication,61,skills
delivery,61,roles
client,60,roles
application,60,roles
process,60,roles
market,59,roles
sales,57,roles
design,55,roles
project,55,roles
analysis,54,roles
build,54,roles
services,51,roles
strategy,50,roles
systems,50,skills
technical,48,skills
analytical,48,skills
environment,47,roles
building,47,roles
lead,46,roles
engineering,45,roles
functional,43,skills
planning,42,roles
solution,39,skills
drive,39,roles
performance,39,roles
ai,38,skills
research,38,skills
platform,38,roles
projects,38,roles
models,36,skills
digital,36,skills
architecture,35,skills
automation,35,skills
processes,35,roles
clients,35,roles
azure,35,skills
security,32,roles
leadership,32,skills
python,32,skills
stakeholders,31,roles
infrastructure,30,roles
statistical,28,skills
operations,28,roles
manager,28,roles
consulting,28,roles
sas,27,skills
customers,26,roles
domain,26,roles
maintain,25,roles
deliver,25,roles
agile,22,skills
reporting,22,skills
integration,22,skills
analyst,22,roles
implement,22,roles
financial,22,skills
innovative,22,skills
statistics,22,skills
aws,21,skills
testing,21,skills
mining,20,skills
strategies,19,roles
modeling,19,skills
system,19,roles
web,19,skills
content,18,roles
algorithms,18,skills
sql,18,skills
delivering,18,roles
migration,17,skills
hadoop,17,skills
microsoft,17,skills
managers,17,roles
banking,17,skills
sap,17,skills
architect,16,roles
software,16,roles
network,16,skills
hr,12,roles
devops,12,skills
ml,12,skills
assist,11,roles
scientist,11,roles
architecting,11,roles
