product,price,final_price
Good Life Dal Mix 500 gm,Rs. 75.00,Rs. 59.00
Plain Toor Dal 2 kg,Rs. 280.00,Rs. 190.00
Raw Peanuts 1 Kg (Loose),Rs. 127.00,Rs. 125.00
Good Life Toor Dal 1 kg,Rs. 137.00,Rs. 108.00
Loose Toor Dal Value 1 kg,Rs. 101.00,Rs. 95.00
Pick N Cook Premium Moong Dal 1 kg,Rs. 226.00,Rs. 180.00
Good Life Rajma Sharmili 500 gm,Rs. 59.00,Rs. 52.00
Pick N Cook Small Chana 500 gm,Rs. 64.00,Rs. 56.00
Loose Chana Dal 1 kg,Rs. 68.00,Rs. 61.00
Good Life Raw Peanut 500 gm,Rs. 100.00,Rs. 83.00
Pick N Cook Maha Toor Dal 1 kg,Rs. 144.00,Rs. 120.00
Good Life Chana Dal 1 kg,Rs. 95.00,Rs. 74.00
Good Life Chana Dal 500 gm,Rs. 49.00,Rs. 40.00
Loose Moong Dal 1 kg,Rs. 132.00,Rs. 130.00
Pnc Masoor Dal 500 gm,Rs. 70.00,Rs. 63.00
Good Life Toor Dal 500 gm,Rs. 70.00,Rs. 56.00
Good Life Rajma Chitra 500 gm,Rs. 85.00,Rs. 75.00
Best Farms Green Chana 500 gm,Rs. 63.00,Rs. 55.00
Pick N Cook Regular Kabuli Chana 500 gm,Rs. 70.00,Rs. 63.00
Tata Sampann High Protein Unpolished Moong Dal 1 kg,Rs. 190.00,Rs. 176.70
