Product_Name,Product_Quantity,Offer_Price,MRP_Price,Category,Vendor
D'nature Fresh Natural Blue Berries, 250 Gram,530,799,Fruits,Amazon
Fresh Banana Robusta, 500 g,15,,Fruits,Amazon
Fresh Water Melon - Kiran, 1 Pc,42,55,Fruits,Amazon
Fresh mango, Safeda/Banganapalli,79,,Fruits,Amazon
Fresh Banana Yelakki, 500 g,24,45,Fruits,Amazon
Fresh Papaya, 1 Piece,48,54,Fruits,Amazon
Fresh Mango, Thothapuri,30,43,Fruits,Amazon
Fresh Pomegranate, 4 Pieces Pack,115,154,Fruits,Amazon
Mango Alphonso, 6 Pieces,169,,Fruits,Amazon
Fresh Mango, Sindhura (Lalbagh),65,95,Fruits,Amazon
Fresh Mango, Badami,147,168,Fruits,Amazon
Fresh Mosambi, 1kg,68,,Fruits,Amazon
Fresh Guava,  500 g,40,67,Fruits,Amazon
Fresh Tender Coconut, 1 Piece,38,58,Fruits,Amazon
Fresh Pineapple, 1 Pc,68,70,Fruits,Amazon
Fresh Mango, Mallika,109,110,Fruits,Amazon
Fresh Mango, Raspuri,79,99,Fruits,Amazon
Fresh Amla, 250g,38,,Fruits,Amazon
Fresh Kiwi, 3 Pcs Pack,79,138,Fruits,Amazon
Fresh Apple Red Washington, 4 Pieces Box,149,201,Fruits,Amazon
Fresh Apple Royal Gala, 4 Pieces Box,149,199,Fruits,Amazon
Fresh Produce Muskmelon Madhumathi, 500-1kg,36,,Fruits,Amazon
Fresh Banana - Nendran, 500g Pack,19,33,Fruits,Amazon
D'nature Fresh Natural Blue Berries, 250 Gram,530,799,Fruits,Amazon
Fresh Apple Granny, 4 Pieces Pack,159,,Fruits,Amazon
Fresh Apple Fuji, 4 Pieces Box,179,,Fruits,Amazon
Del Monte Premium Pitted California  Prunes Health Snack, 340g,325,395,Fruits,Amazon
Fresh Mango, Rumani,140,,Fruits,Amazon
Fresh Mango, Sugar Baby,185,260,Fruits,Amazon
Fresh Produce Imported Orange, 4 Pack,110,,Fruits,Amazon
Fresh Grapes, Red (Globe),99,,Fruits,Amazon
Del Monte Dried Cranberries, 250g,247,300,Fruits,Amazon
Fresh Mango, Imam Pasand,212,240,Fruits,Amazon
D'nature Fresh Natural Blue Berries, 250 Gram,530,799,Fruits,Amazon
Being Marwari Gota Dry Coconuts (Medium, 400g),169,300,Fruits,Amazon
Fresh Produce Mango - Malgoa, 1kg,540,690,Fruits,Amazon
Fresh Pomegranate, 4 Pieces Pack,560,650,Fruits,Amazon
D'nature Fresh Natural Blue Berries, 250 Gram,530,799,Fruits,Amazon
Fresh Pomegranate, 6 Pieces Pack,,,Fruits,Amazon
Fresh Kinnow Orange, 6 Pcs,,,Fruits,Amazon
Fresh Produce Apple - Fuji, 1kg,,,Fruits,Amazon
Fresh Apple Kashmir, 4 Pieces,580,600,Fruits,Amazon
Fresh Shimla Apple, 6 Pieces,680,,Fruits,Amazon
Fresh Apple Kashmir, 6 Pieces,680,,Fruits,Amazon
Fresh Produce Apple - Red Delicious, 1kg,645,780,Fruits,Amazon
Malgudi Tunisia Dates, 400 g,360,,Fruits,Amazon
Happibo Broccoli and Carrot Food Puree Jar, 2 X 215 g,300,,Fruits,Amazon
Malgudi Rabbi Dates, 400 g,360,,Fruits,Amazon
Malgudi Fard Dates, 400 g,320,,Fruits,Amazon
Malgudi Saudi Golden Dates, 400 g,360,,Fruits,Amazon
Malgudi Ccd (Cashew, Coconut & Dates) Premium Stuffed Dates,288,300,Fruits,Amazon
Malgudi Cocodates Premium Stuffed Dates, 250 g,200,,Fruits,Amazon
Fresh Onion, 1kg Pack,20,36,Vegtables,Amazon
Fresh Potato, 1kg Pack,37,56,Vegtables,Amazon
Fresh Bhindi, 500g Pack,16,25,Vegtables,Amazon
Fresh Tomato Hybrid, 1kg Pack,19,,Vegtables,Amazon
Fresh Capsicum - Green, 500g Pack,30,,Vegtables,Amazon
Fresh Cucumber, 500g Pack,12,21,Vegtables,Amazon
Fresh Chilli - Green, 100g Pack,6,,Vegtables,Amazon
Fresh Ginger, 100g Pack,10,17,Vegtables,Amazon
Fresh Tomato - Local, 1kg Pack,19,,Vegtables,Amazon
Fresh Carrot, Orange,20,25,Vegtables,Amazon
Fresh Beans French, 250g,38,45,Vegtables,Amazon
Fresh Cabbage 1 Piece, (500 - 800 g),15,19,Vegtables,Amazon
Fresh Brinjal Bharta (Bottle Shape), 500g Pack,16,18,Vegtables,Amazon
Fresh Garlic, 250g,40,59,Vegtables,Amazon
Fresh Beet Root, 250g Pack,11,18,Vegtables,Amazon
Fresh Spinach, 250g Pack,15,43,Vegtables,Amazon
Fresh Cauliflower 1 piece, (400 - 600 g),24,26,Vegtables,Amazon
Fresh Brinjal Varikatri, 500g Pack,18,22,Vegtables,Amazon
Fresh Tendli, 250g Pack,8,10,Vegtables,Amazon
Fresh Sweet Corn - American, 2 Pieces Pack,25,44,Vegtables,Amazon
Fresh Radish - White, 500g Pack,10,20,Vegtables,Amazon
Fresh Banana Raw, 500g,23,50,Vegtables,Amazon
Fresh Beans Cluster, 250g Pack,10,16,Vegtables,Amazon
Fresh Capsicum - Red, 250g Pack,30,34,Vegtables,Amazon
Fresh Arvi, 250g Pack,23,43,Vegtables,Amazon
Fresh Tender Coconut, 1 Piece,38,58,Vegtables,Amazon
Fresh Broccoli, 500g,76,90,Vegtables,Amazon
Fresh Beans Broad - Avare Chikadi, 250g Pack,22,29,Vegtables,Amazon
Fresh Sweet Potato, 1kg,45,74,Vegtables,Amazon
Fresh Baby Potato, 1kg Pack,49,76,Vegtables,Amazon
Fresh Knol Khol, 250g Pack,17,20,Vegtables,Amazon
Fresh Chow Chow, 250g,19,23,Vegtables,Amazon
Fresh Onions - Sambar, 1kg Pack,88,153,Vegtables,Amazon
Safe Products Comb of Onions[1kg], Small Onions/shellot[1kg],569,799,Vegtables,Amazon
Fresh Snake Gourd, 250g Pack,8,,Vegtables,Amazon
Fresh Produce Cucumber White Pkd, 250g,10,10.50,Vegtables,Amazon
Fresh Tapioca, 250g Pack,17,,Vegtables,Amazon
Fresh Yam, 500g,33,50,Vegtables,Amazon
Nature's Smith Cayenne Pepper, 400g,450,,Vegtables,Amazon
Fresh Turnip, 500g Pack,52,90,Vegtables,Amazon
Fresh Produce Garlic ,1kg,175,240,Vegtables,Amazon
Dezire LG Natural Sugar Free Low GI Squash - Sustained Energy with Lingering Mellowed Sweetness - Lemon Ginger, 700 ml,369,370,Vegtables,Amazon
Maven & Bloom Kashmiri Garlic | Himalayan Garlic, Kashmiri Lahsun | Himalayan Single Clove Garlic (200g),399,"1,000",Vegtables,Amazon
