Product_Name,Product_Quantity,MRP_Price,Offer_Price
Home Zone Stainless Steel Milk Pan - Induction Bottom,1.1 L,Rs 315,Rs 169
Prestige Popular Aluminium - Pressure Cooker,2 L,Rs 1145,Rs 1030
Stainless Steel Pressure Cooker With Induction Compatible Base HSS20,2 L,Rs 2300,Rs 2199
Popular Induction Based Stainless Steel Pressure Cooker,3 L,Rs 1975,Rs 1780
"Non-Stick Fry Pan 240 mm & Tawa 260mm Combo - Granite Coating, Black",2 pcs,Rs 1599,Rs 599
Stainless Steel Copper Bottom Cook & Serve Handi-Parpu Chetty Set,5 pcs,Rs 999,Rs 499
Steel Milk Sauce Pan 10 Cm & Casserole With Glass Lid 16 Cm,3 pcs,Rs 650,Rs 399
Contura Pressure Cooker - HC30,3 L,Rs 1385,Rs 1359
Non-Stick Heavy Gauge Dosa/Flat Tawa With Wire Handle - Red,1 pc,Rs 999,Rs 399
Contura Black Pressure Cooker - CB40,4 L,Rs 2200,Rs 2175
"Appam Patra/Panniyarkal - 7 Rounds, Maroon",1 pc,Rs 249,Rs 129
"Non-Stick Flat Dosa Tawa - 260 mm, Aluminium, Red",1 pc,Rs 699,Rs 299
Non-Stick Appam Patra/Panniyarkal With Steel Lid - Diamond Series,1 pc,Rs 635,Rs 499
Stainless Steel Idli Maker,12 pcs,Rs 625,Rs 449
"Induction Base Non Stick Cookware Set With Glass Lid - Bling, Blue",4 pcs,Rs 4999,Rs 1349
Non-Stick Tadka Pan/Vagaria,1 pc,Rs 259,Rs 129
Futura Hard Anodised 23 cm Cook & Serve Bowl - L65,5 L,Rs 1845,Rs 1799
Combo - Outer Lid Aluminum Pressure Cooker With Common Lid,2 pcs,Rs 1150,Rs 699
Aluminium Pressure Cooker - Outer Lid,2 L,Rs 800,Rs 449
Non-Stick Dosa-Flat Tawa With Soft Touch Handle - Red,1 pc,Rs 699,Rs 369
Home Zone Stainless Steel Milk Pan - Induction Bottom,1.1 L,Rs 315,Rs 169
Prestige Popular Aluminium - Pressure Cooker,2 L,Rs 1145,Rs 1030
Stainless Steel Pressure Cooker With Induction Compatible Base HSS20,2 L,Rs 2300,Rs 2199
Popular Induction Based Stainless Steel Pressure Cooker,3 L,Rs 1975,Rs 1780
"Non-Stick Fry Pan 240 mm & Tawa 260mm Combo - Granite Coating, Black",2 pcs,Rs 1599,Rs 599
Stainless Steel Copper Bottom Cook & Serve Handi-Parpu Chetty Set,5 pcs,Rs 999,Rs 499
Steel Milk Sauce Pan 10 Cm & Casserole With Glass Lid 16 Cm,3 pcs,Rs 650,Rs 399
Contura Pressure Cooker - HC30,3 L,Rs 1385,Rs 1359
Non-Stick Heavy Gauge Dosa/Flat Tawa With Wire Handle - Red,1 pc,Rs 999,Rs 399
Contura Black Pressure Cooker - CB40,4 L,Rs 2200,Rs 2175
"Appam Patra/Panniyarkal - 7 Rounds, Maroon",1 pc,Rs 249,Rs 129
"Non-Stick Flat Dosa Tawa - 260 mm, Aluminium, Red",1 pc,Rs 699,Rs 299
Non-Stick Appam Patra/Panniyarkal With Steel Lid - Diamond Series,1 pc,Rs 635,Rs 499
Stainless Steel Idli Maker,12 pcs,Rs 625,Rs 449
"Induction Base Non Stick Cookware Set With Glass Lid - Bling, Blue",4 pcs,Rs 4999,Rs 1349
Non-Stick Tadka Pan/Vagaria,1 pc,Rs 259,Rs 129
Futura Hard Anodised 23 cm Cook & Serve Bowl - L65,5 L,Rs 1845,Rs 1799
Combo - Outer Lid Aluminum Pressure Cooker With Common Lid,2 pcs,Rs 1150,Rs 699
Aluminium Pressure Cooker - Outer Lid,2 L,Rs 800,Rs 449
Non-Stick Dosa-Flat Tawa With Soft Touch Handle - Red,1 pc,Rs 699,Rs 369
Home Zone Stainless Steel Milk Pan - Induction Bottom,1.1 L,Rs 315,Rs 169
Prestige Popular Aluminium - Pressure Cooker,2 L,Rs 1145,Rs 1030
Stainless Steel Pressure Cooker With Induction Compatible Base HSS20,2 L,Rs 2300,Rs 2199
Popular Induction Based Stainless Steel Pressure Cooker,3 L,Rs 1975,Rs 1780
"Non-Stick Fry Pan 240 mm & Tawa 260mm Combo - Granite Coating, Black",2 pcs,Rs 1599,Rs 599
Stainless Steel Copper Bottom Cook & Serve Handi-Parpu Chetty Set,5 pcs,Rs 999,Rs 499
Steel Milk Sauce Pan 10 Cm & Casserole With Glass Lid 16 Cm,3 pcs,Rs 650,Rs 399
Contura Pressure Cooker - HC30,3 L,Rs 1385,Rs 1359
Non-Stick Heavy Gauge Dosa/Flat Tawa With Wire Handle - Red,1 pc,Rs 999,Rs 399
Contura Black Pressure Cooker - CB40,4 L,Rs 2200,Rs 2175
"Appam Patra/Panniyarkal - 7 Rounds, Maroon",1 pc,Rs 249,Rs 129
"Non-Stick Flat Dosa Tawa - 260 mm, Aluminium, Red",1 pc,Rs 699,Rs 299
Non-Stick Appam Patra/Panniyarkal With Steel Lid - Diamond Series,1 pc,Rs 635,Rs 499
Stainless Steel Idli Maker,12 pcs,Rs 625,Rs 449
"Induction Base Non Stick Cookware Set With Glass Lid - Bling, Blue",4 pcs,Rs 4999,Rs 1349
Non-Stick Tadka Pan/Vagaria,1 pc,Rs 259,Rs 129
Futura Hard Anodised 23 cm Cook & Serve Bowl - L65,5 L,Rs 1845,Rs 1799
Combo - Outer Lid Aluminum Pressure Cooker With Common Lid,2 pcs,Rs 1150,Rs 699
Aluminium Pressure Cooker - Outer Lid,2 L,Rs 800,Rs 449
Non-Stick Dosa-Flat Tawa With Soft Touch Handle - Red,1 pc,Rs 699,Rs 369
Home Zone Stainless Steel Milk Pan - Induction Bottom,1.1 L,Rs 315,Rs 169
Home Zone Stainless Steel Milk Pan - Induction Bottom,1.1 L,Rs 315,Rs 169
