Product_Name,Product_Quantity,MRP_Price,Offer_Price
Toor/Arhar Dal,5 kg,Rs 800,Rs 571
Peanuts/Mungaphali/Shengdana - Raw,1 kg,Rs 220,Rs 156
Moong Dal,2 kg,Rs 380,Rs 290
Organic - Tur/Toor Dal,2 kg,Rs 399,Rs 269
Toor Dal/Arhar Dal - Desi,2 kg,Rs 340,Rs 238
Green Moong Whole/Sabut,1 kg,Rs 180,Rs 152
Kabuli Channa,1 kg,Rs 180,Rs 116
Peanuts/ Mungaphali/Shengdana - Raw,500 g,Rs 115,Rs 84
Toor Dal,1 kg,Rs 149,Rs 140.06
Channa Dal,1 kg,Rs 160,Rs 101
bb Popular Sona Masoori Raw Rice 10kg + Toor Dal 2kg,Combo,Rs 970,Rs 757
Urad - Whole/Gota,1 kg,Rs 210,Rs 127
bb Royal Sona Masoori Raw Rice 10kg + Toor Dal 1kg + Sugar 1kg,Combo,Rs 930,Rs 759
Fried Gram/Bengal Gram,500 g,Rs 90,Rs 69
Organic - Brown Chana/Channa Brown,500 g,Rs 82,Rs 56
Urad Dal - Split,1 kg,Rs 210,Rs 141
"Toor/Arhar Dal 2 kg + Moong Dal 1 kg+Moong - Green, Whole/Sabut 1 kg",Combo,Rs 680,Rs 525
Rajma - White/Chitra,200 g,Rs 45,Rs 29
Masoor Dal,1 kg,Rs 160,Rs 116
Urad Dal - Split,1 kg,Rs 200,Rs 134
Toor/Arhar Dal,5 kg,Rs 800,Rs 571
Peanuts/Mungaphali/Shengdana - Raw,1 kg,Rs 220,Rs 156
Moong Dal,2 kg,Rs 380,Rs 290
Organic - Tur/Toor Dal,2 kg,Rs 399,Rs 269
Toor Dal/Arhar Dal - Desi,2 kg,Rs 340,Rs 238
Green Moong Whole/Sabut,1 kg,Rs 180,Rs 152
Kabuli Channa,1 kg,Rs 180,Rs 116
Peanuts/ Mungaphali/Shengdana - Raw,500 g,Rs 115,Rs 84
Toor Dal,1 kg,Rs 149,Rs 140.06
Channa Dal,1 kg,Rs 160,Rs 101
bb Popular Sona Masoori Raw Rice 10kg + Toor Dal 2kg,Combo,Rs 970,Rs 757
Urad - Whole/Gota,1 kg,Rs 210,Rs 127
bb Royal Sona Masoori Raw Rice 10kg + Toor Dal 1kg + Sugar 1kg,Combo,Rs 930,Rs 759
Fried Gram/Bengal Gram,500 g,Rs 90,Rs 69
Organic - Brown Chana/Channa Brown,500 g,Rs 82,Rs 56
Urad Dal - Split,1 kg,Rs 210,Rs 141
"Toor/Arhar Dal 2 kg + Moong Dal 1 kg+Moong - Green, Whole/Sabut 1 kg",Combo,Rs 680,Rs 525
Rajma - White/Chitra,200 g,Rs 45,Rs 29
Masoor Dal,1 kg,Rs 160,Rs 116
Urad Dal - Split,1 kg,Rs 200,Rs 134
Toor/Arhar Dal,5 kg,Rs 800,Rs 571
Peanuts/Mungaphali/Shengdana - Raw,1 kg,Rs 220,Rs 156
Moong Dal,2 kg,Rs 380,Rs 290
Organic - Tur/Toor Dal,2 kg,Rs 399,Rs 269
Toor Dal/Arhar Dal - Desi,2 kg,Rs 340,Rs 238
Green Moong Whole/Sabut,1 kg,Rs 180,Rs 152
Kabuli Channa,1 kg,Rs 180,Rs 116
Peanuts/ Mungaphali/Shengdana - Raw,500 g,Rs 115,Rs 84
Toor Dal,1 kg,Rs 149,Rs 140.06
Channa Dal,1 kg,Rs 160,Rs 101
bb Popular Sona Masoori Raw Rice 10kg + Toor Dal 2kg,Combo,Rs 970,Rs 757
Urad - Whole/Gota,1 kg,Rs 210,Rs 127
bb Royal Sona Masoori Raw Rice 10kg + Toor Dal 1kg + Sugar 1kg,Combo,Rs 930,Rs 759
Fried Gram/Bengal Gram,500 g,Rs 90,Rs 69
Organic - Brown Chana/Channa Brown,500 g,Rs 82,Rs 56
Urad Dal - Split,1 kg,Rs 210,Rs 141
"Toor/Arhar Dal 2 kg + Moong Dal 1 kg+Moong - Green, Whole/Sabut 1 kg",Combo,Rs 680,Rs 525
Rajma - White/Chitra,200 g,Rs 45,Rs 29
Masoor Dal,1 kg,Rs 160,Rs 116
Urad Dal - Split,1 kg,Rs 200,Rs 134
Toor/Arhar Dal,5 kg,Rs 800,Rs 571
Toor/Arhar Dal,5 kg,Rs 800,Rs 571
