Product_Name,Product_Quantity,MRP_Price,Offer_Price,Vendor,Category
"Organic - Raw Peanuts",500 g,115.00,85.00,BigBasket,DalsAndPulses
"Organic - Raw Peanuts",1 kg,225.00,165.00,BigBasket,DalsAndPulses
"Organic Kabuli Chana/Channa",1 kg,199.00,129.00,BigBasket,DalsAndPulses
"Organic Kabuli Chana/Channa",500 g,100.00,66.00,BigBasket,DalsAndPulses
Masoor Dal,500 g,75.00,59.00,BigBasket,DalsAndPulses
bb Royal Idli Rice 5kg + Gota Urad 1kg + Raw Peanut 500g,Combo,615.00,451.00,BigBasket,DalsAndPulses
Moong Dal,1 kg,200.00,181.00,BigBasket,DalsAndPulses
"Organic - Moong DalUnpolished",2 kg,369.00,339.00,BigBasket,DalsAndPulses
"Organic - Moong DalUnpolished",1 kg,225.00,175.00,BigBasket,DalsAndPulses
"Organic - Chana Dal/Channa Unpolished",1 kg,175.00,115.00,BigBasket,DalsAndPulses
"Organic - Chana Dal/Channa Unpolished",500 g,90.00,59.00,BigBasket,DalsAndPulses
"Channa - Kabuli",1 kg,190.00,119.00,BigBasket,DalsAndPulses
"Channa - Kabuli",500 g,95.00,64.00,BigBasket,DalsAndPulses
"Channa Dal",1 kg,150.00,100.00,BigBasket,DalsAndPulses
"Channa Dal",500 g,75.00,51.00,BigBasket,DalsAndPulses
"Urad Gota - Whole",500 g,85.00,64.00,BigBasket,DalsAndPulses
"Urad Gota - Whole",1 kg,200.00,126.00,BigBasket,DalsAndPulses
"Urad Gota - Whole",2 kg,320.00,252.00,BigBasket,DalsAndPulses
"Rajma - Red",1 kg,200.00,151.00,BigBasket,DalsAndPulses
"Rajma - Red",500 g,100.00,79.00,BigBasket,DalsAndPulses
Urad Dal Whole White,1 kg,200.00,184.00,BigBasket,DalsAndPulses
"Channa - Brown",1 kg,140.00,77.00,BigBasket,DalsAndPulses
"Channa - Brown",200 g,30.00,17.00,BigBasket,DalsAndPulses
"Organic - Green Moong Whole",500 g,110.00,80.00,BigBasket,DalsAndPulses
"Organic - Green Moong Whole",2 kg,435.00,339.00,BigBasket,DalsAndPulses
"Organic - Green Moong Whole",1 kg,220.00,175.00,BigBasket,DalsAndPulses
BB Popular Channa Dal 1 kg + Urad Dal - Split 1 kg+BB Royal Rice - Dosa 2 kg,Combo,450.00,329.00,BigBasket,DalsAndPulses
Green Moong Split/Chilka,1 kg,180.00,144.00,BigBasket,DalsAndPulses
"Organic - Green Moong Dal (Split)",1 kg,219.00,159.00,BigBasket,DalsAndPulses
"Organic - Green Moong Dal (Split)",500 g,110.00,85.00,BigBasket,DalsAndPulses
