Product_Name,Product_Quantity,MRP_Price,Offer_Price,Vendor,Category
"Bathing Soap - Ayurvedic Natural Glycerine",4x125 g,188.00,188.00,BigBasket,BathAndHandWash
"Bathing Soap - Ayurvedic Natural Glycerine",8x125 g,376.00,376.00,BigBasket,BathAndHandWash
"Bathing Soap - Ayurvedic Natural Glycerine",75 g,30.00,30.00,BigBasket,BathAndHandWash
"Bathing Soap - Ayurvedic Natural Glycerine",125 g,47.00,47.00,BigBasket,BathAndHandWash
"Bathing Soap - Glycerine Moisturising Soap",2x125 g,94.00,94.00,BigBasket,BathAndHandWash
"Bathing Soap - Glycerine Moisturising Soap",2x75 g,60.00,60.00,BigBasket,BathAndHandWash
Shower Gel - Pure & Gentle 250ml + Soap Bar - Pure & Gentle 125Gx3,Combo,285.00,275.00,BigBasket,BathAndHandWash
"Soap Bar",2x100 g,64.00,64.00,BigBasket,BathAndHandWash
"Soap Bar - Neem Tulsi and Aloevera",3x150 g,150.00,150.00,BigBasket,BathAndHandWash
"Soap Bar",3x100 g,96.00,96.00,BigBasket,BathAndHandWash
"Soap Bar - Neem Tulsi & Aloevera",150 g,50.00,50.00,BigBasket,BathAndHandWash
"Soap Bar - Neem Tulsi & Aloevera",6x150 g,300.00,300.00,BigBasket,BathAndHandWash
"Soap Bar - Neem Tulsi and Aloevera",2x150 g,100.00,100.00,BigBasket,BathAndHandWash
"Soap Bar",100 g,32.00,32.00,BigBasket,BathAndHandWash
"Oil Clear & Glow Soap Bar",4x75 g,164.00,164.00,BigBasket,BathAndHandWash
"Oil Clear & Glow Soap Bar",8x75 g,328.00,328.00,BigBasket,BathAndHandWash
"Oil Clear & Glow Soap Bar",2x75 g,82.00,82.00,BigBasket,BathAndHandWash
"Oil Clear & Glow Soap Bar",6x75 g,246.00,246.00,BigBasket,BathAndHandWash
"Oil Clear & Glow Soap Bar",75 g,41.00,41.00,BigBasket,BathAndHandWash
Skincare Hand Wash Liquid Pump,200 ml,79.00,79.00,BigBasket,BathAndHandWash
"Neem & Turmeric Soap",125 g,45.00,45.00,BigBasket,BathAndHandWash
"Bathing Soap - Neem & Turmeric",4x125 g,180.00,162.00,BigBasket,BathAndHandWash
"Soap - Neem & Turmeric",6x125 g,270.00,237.60,BigBasket,BathAndHandWash
"Hand Rub Sanitizer & Disinfectant - 75% Isopropyl-Based",5 L,2500.00,2500.00,BigBasket,BathAndHandWash
"Hand Rub Sanitizer & Disinfectant - 75% Isopropyl-Based",500 ml,250.00,250.00,BigBasket,BathAndHandWash
"Hand Wash - NaturalsBlack Orchid & Milk",250 ml,99.00,99.00,BigBasket,BathAndHandWash
"Hand Wash - NaturalsBlack Orchid & Milk",500 ml,120.00,120.00,BigBasket,BathAndHandWash
Pure & Gentle Shower Gel,250 ml,135.00,135.00,BigBasket,BathAndHandWash
Refill Handwash - Sandal,200 ml,45.00,45.00,BigBasket,BathAndHandWash
"Go Fresh Moisture Bathing Bar",2x75 g,98.00,98.00,BigBasket,BathAndHandWash
"Go Fresh Moisture Bathing Bar Soap",6x75 g,294.00,294.00,BigBasket,BathAndHandWash
"Go Fresh Moisture Bathing Bar Soap",4x75 g,245.00,245.00,BigBasket,BathAndHandWash
"Go Fresh Moisture Bathing Bar Soap",75 g,49.00,49.00,BigBasket,BathAndHandWash
"Almond & Rose Soap",75 g,30.00,30.00,BigBasket,BathAndHandWash
"Bathing Soap - Almond & Rose",4x75 g,120.00,120.00,BigBasket,BathAndHandWash
"Hand Wash Liquid Refill - Original",900 ml,149.00,149.00,BigBasket,BathAndHandWash
"Liquid Hand Wash - Original",2x900 ml,298.00,298.00,BigBasket,BathAndHandWash
"Cucumber & Coconut Soap",125 g,45.00,45.00,BigBasket,BathAndHandWash
"Cucumber & Coconut Soap",75 g,30.00,30.00,BigBasket,BathAndHandWash
"Bathing Soap - Cucumber & Coconut",4x125 g,180.00,162.00,BigBasket,BathAndHandWash
"Bathing Soap - Cucumber & Coconut",4x75 g,120.00,114.00,BigBasket,BathAndHandWash
Hand Wash - Mild CareGerm Protection,185 ml,113.00,113.00,BigBasket,BathAndHandWash
"Gel Bathing Bar - Multi Variant (Buy 4 & Get 1 Free125 g each)",2x625 g,530.00,530.00,BigBasket,BathAndHandWash
