Product_Name,Product_Quantity,MRP_Price,Offer_Price
Oreo Biscuit - Vanilla Creme,3x120 g,0,MRP: Rs 90
Biscuits - Little Hearts,6x34.5 g,Rs 60,Rs 57
Glucos Biscuits - Parle-G,250 g,0,MRP: Rs 20
Bourbon Chocolate Cream Biscuits,150 g,Rs 30,Rs 27
Good Day Cookies - Rich Cashew,2x200 g,Rs 80,Rs 74.40
Marie Gold Biscuits,250 g,Rs 30,Rs 28.50
Hide & Seek Chocolate,2x120 g,0,MRP: Rs 60
Dark Fantasy - Choco Fills,3x300 g,0,MRP: Rs 360
Nutri Choice Hi Fibre Digestive Biscuits,100 g,Rs 20,Rs 19
Choco Creme Biscuits,3x120 g,0,MRP: Rs 90
Milk Bikis Biscuits,80 g,0,MRP: Rs 10
50-50 Maska Chaska Salted Biscuits,50 g,0,MRP: Rs 10
Treat - Jim Jam Biscuits,3x100 g,0,MRP: Rs 75
Biscuits - Vita Marie Gold,6x150 g,0,MRP: Rs 120
"Dark Fantasy - Choco Fills, 75 gm + Dark Fantasy - Choco Fills, 300 gm",Combo,0,MRP: Rs 150
Dark Fantasy - Choco Fills 75 Gm + Yippee Noodles - Magic Masala 240 Gm,Combo,0,MRP: Rs 76
Marie Biscuits,250 g,0,MRP: Rs 30
Krackjack Biscuits,200 g,0,MRP: Rs 30
Share Bag - Chocolate Covered Wafer,18 g,0,MRP: Rs 100
Digestive Biscuits,200 g,Rs 159,Rs 149
Oreo Biscuit - Vanilla Creme,3x120 g,0,MRP: Rs 90
Biscuits - Little Hearts,6x34.5 g,Rs 60,Rs 57
Glucos Biscuits - Parle-G,250 g,0,MRP: Rs 20
Bourbon Chocolate Cream Biscuits,150 g,Rs 30,Rs 27
Good Day Cookies - Rich Cashew,2x200 g,Rs 80,Rs 74.40
Marie Gold Biscuits,250 g,Rs 30,Rs 28.50
Hide & Seek Chocolate,2x120 g,0,MRP: Rs 60
Dark Fantasy - Choco Fills,3x300 g,0,MRP: Rs 360
Nutri Choice Hi Fibre Digestive Biscuits,100 g,Rs 20,Rs 19
Choco Creme Biscuits,3x120 g,0,MRP: Rs 90
Milk Bikis Biscuits,80 g,0,MRP: Rs 10
50-50 Maska Chaska Salted Biscuits,50 g,0,MRP: Rs 10
Treat - Jim Jam Biscuits,3x100 g,0,MRP: Rs 75
Biscuits - Vita Marie Gold,6x150 g,0,MRP: Rs 120
"Dark Fantasy - Choco Fills, 75 gm + Dark Fantasy - Choco Fills, 300 gm",Combo,0,MRP: Rs 150
Dark Fantasy - Choco Fills 75 Gm + Yippee Noodles - Magic Masala 240 Gm,Combo,0,MRP: Rs 76
Marie Biscuits,250 g,0,MRP: Rs 30
Krackjack Biscuits,200 g,0,MRP: Rs 30
Share Bag - Chocolate Covered Wafer,18 g,0,MRP: Rs 100
Digestive Biscuits,200 g,Rs 159,Rs 149
Oreo Biscuit - Vanilla Creme,3x120 g,0,MRP: Rs 90
Biscuits - Little Hearts,6x34.5 g,Rs 60,Rs 57
Glucos Biscuits - Parle-G,250 g,0,MRP: Rs 20
Bourbon Chocolate Cream Biscuits,150 g,Rs 30,Rs 27
Good Day Cookies - Rich Cashew,2x200 g,Rs 80,Rs 74.40
Marie Gold Biscuits,250 g,Rs 30,Rs 28.50
Hide & Seek Chocolate,2x120 g,0,MRP: Rs 60
Dark Fantasy - Choco Fills,3x300 g,0,MRP: Rs 360
Nutri Choice Hi Fibre Digestive Biscuits,100 g,Rs 20,Rs 19
Choco Creme Biscuits,3x120 g,0,MRP: Rs 90
Milk Bikis Biscuits,80 g,0,MRP: Rs 10
50-50 Maska Chaska Salted Biscuits,50 g,0,MRP: Rs 10
Treat - Jim Jam Biscuits,3x100 g,0,MRP: Rs 75
Biscuits - Vita Marie Gold,6x150 g,0,MRP: Rs 120
"Dark Fantasy - Choco Fills, 75 gm + Dark Fantasy - Choco Fills, 300 gm",Combo,0,MRP: Rs 150
Dark Fantasy - Choco Fills 75 Gm + Yippee Noodles - Magic Masala 240 Gm,Combo,0,MRP: Rs 76
Marie Biscuits,250 g,0,MRP: Rs 30
Krackjack Biscuits,200 g,0,MRP: Rs 30
Share Bag - Chocolate Covered Wafer,18 g,0,MRP: Rs 100
Digestive Biscuits,200 g,Rs 159,Rs 149
Oreo Biscuit - Vanilla Creme,3x120 g,0,MRP: Rs 90
Oreo Biscuit - Vanilla Creme,3x120 g,0,MRP: Rs 90
