Product_Name,Product_Quantity,MRP_Price,Offer_Price,Vendor,Category,Qty_Unit
Tur Dal Latur ,500,61.0,56.0,Dmart,DalsAndPulses,g
Tur Dal Latur ,1,121.0,110.0,Dmart,DalsAndPulses,kg
Moong Dal ,500,89.0,81.0,Dmart,DalsAndPulses,g
Moong Dal ,1,169.0,149.0,Dmart,DalsAndPulses,kg
Tur Dal Premium Gujarat ,500,72.0,66.0,Dmart,DalsAndPulses,g
Tur Dal Premium Gujarat ,1,145.0,130.0,Dmart,DalsAndPulses,kg
Moong Whole ,500,94.0,80.0,Dmart,DalsAndPulses,g
Moong Whole ,1,186.0,162.0,Dmart,DalsAndPulses,kg
Premia Groundnut ,500,94.0,80.0,Dmart,DalsAndPulses,g
Premia Groundnut ,1,191.0,177.0,Dmart,DalsAndPulses,kg
Chana Dal ,500,42.0,38.0,Dmart,DalsAndPulses,g
Chana Dal ,1,81.0,70.0,Dmart,DalsAndPulses,kg
Udid (Urad) Dal ,500,88.0,80.0,Dmart,DalsAndPulses,g
Udid (Urad) Dal ,1,179.0,155.0,Dmart,DalsAndPulses,kg
Masoor Dal ,500,57.0,53.0,Dmart,DalsAndPulses,g
Masoor Dal ,1,112.0,102.0,Dmart,DalsAndPulses,kg
Moong Dal Chilti ,500,90.0,78.0,Dmart,DalsAndPulses,g
Moong Dal Chilti ,1,178.0,158.0,Dmart,DalsAndPulses,kg
Chana Small ,500,44.0,39.0,Dmart,DalsAndPulses,g
Matki ,500,68.0,52.0,Dmart,DalsAndPulses,g
Matki ,1,133.0,114.0,Dmart,DalsAndPulses,kg
Vatana White ,500,62.0,56.0,Dmart,DalsAndPulses,g
Masoor Whole ,500,54.0,44.0,Dmart,DalsAndPulses,g
Masoor Whole ,1,106.0,90.0,Dmart,DalsAndPulses,kg
Chowli Small ,500,99.0,88.0,Dmart,DalsAndPulses,g
Chana Big ,500,55.0,49.0,Dmart,DalsAndPulses,g
DMart Healthy Choice Unpolished Toor Dal ,1,156.0,133.0,Dmart,DalsAndPulses,kg
Mix Dal ,500,72.0,66.0,Dmart,DalsAndPulses,g
Mix Dal ,1,152.0,137.0,Dmart,DalsAndPulses,kg
Chowli Big ,500,57.0,51.0,Dmart,DalsAndPulses,g
Udid (Urad) Black Whole ,500,81.0,68.0,Dmart,DalsAndPulses,g
DMart Healthy Choice Unpolished Moong Dal ,1,212.0,167.0,Dmart,DalsAndPulses,kg
Udid (Urad) Whole ,500,90.0,77.0,Dmart,DalsAndPulses,g
Mixed Pulses For Sprout ,500,75.0,67.0,Dmart,DalsAndPulses,g
Udid (Urad) Dal Chilti ,500,83.0,75.0,Dmart,DalsAndPulses,g
Chowli Premium ,500,69.0,55.0,Dmart,DalsAndPulses,g
Chana Green ,500,57.0,51.0,Dmart,DalsAndPulses,g
Vatana Black ,500,48.0,43.0,Dmart,DalsAndPulses,g
Wal ,500,72.0,62.0,Dmart,DalsAndPulses,g
DMart Healthy Choice Unpolished Chana Dal ,1,100.0,88.0,Dmart,DalsAndPulses,kg
Chowli Red ,500,64.0,58.0,Dmart,DalsAndPulses,g
Premia Soyawadi ,200,32.0,26.0,Dmart,DalsAndPulses,g
Dal - Rice Mix ,500,58.0,51.0,Dmart,DalsAndPulses,g
