Product_Name,Product_Quantity,MRP_Price,Offer_Price,Vendor,Category,Qty_Unit
Cabbage,1,23.75,19.0,BigBasket,FruitsAndVegitables,pc
Ridge Gourd/Beerakaya,500,37.5,30.0,BigBasket,FruitsAndVegitables,g
Coriander Leaves/Kothimeera,100,37.5,30.0,BigBasket,FruitsAndVegitables,g
Mosambi - Economy,3,123.75,99.0,BigBasket,FruitsAndVegitables,kg
Muskmelon - Netted Small/Kharbuja,1,53.75,43.0,BigBasket,FruitsAndVegitables,pc
Apple - Red Delicious/WashingtonRegular,4,198.75,159.0,BigBasket,FruitsAndVegitables,pcs
Beetroot,500,27.5,22.0,BigBasket,FruitsAndVegitables,g
Cucumber - English/Kheera,1,61.25,49.0,BigBasket,FruitsAndVegitables,kg
Kiwi - Green,3,98.75,79.0,BigBasket,FruitsAndVegitables,pcs
Methi/Menthi kura,100,23.75,19.0,BigBasket,FruitsAndVegitables,g
Papaya - Semi Ripe/Boppayi Pandu,1,48.75,39.0,BigBasket,FruitsAndVegitables,pc
Apple - Royal GalaRegular,4,198.75,159.0,BigBasket,FruitsAndVegitables,pcs
Grapes - Bangalore Blue with Seed/Draksha,500,35.0,28.0,BigBasket,FruitsAndVegitables,g
Coccinia/Dondakaya,250,5.0,4.0,BigBasket,FruitsAndVegitables,g
Brinjal - Nagpur/Varikatri/Vankaya,250,11.25,9.0,BigBasket,FruitsAndVegitables,g
Raw Mango,250,32.5,26.0,BigBasket,FruitsAndVegitables,g
Palak 100 g+Ladies Finger+Cucumber+Capsicum Green (500g Each)+Bottle Gourd 1Kg,Combo,110.15,91.9,BigBasket,FruitsAndVegitables,
Palak 250g +Ladies Finger+Cucumber+Capsicum Green (500g Each) +Bottle Gourd 1kg,Combo,132.65,109.9,BigBasket,FruitsAndVegitables,
Sweet Potato/Chilakada Dumpa,500,31.25,25.0,BigBasket,FruitsAndVegitables,g
Dates - Kimiawith Seed/Khajoora Pandu,1,275.0,270.0,BigBasket,FruitsAndVegitables,pc
Drumstick/Mulakada,100,11.25,9.0,BigBasket,FruitsAndVegitables,g
