Product_Name,Product_Quantity,MRP_Price,Offer_Price,Vendor,Category
Loose Moong Dal 1 kg,1.0,132.0,126.0,JioMart,DalsAndPulses
Good Life Chana Brown 500 g,0.5,47.0,36.0,JioMart,DalsAndPulses
Good Life Toor Dal 500 g,0.5,70.0,56.0,JioMart,DalsAndPulses
Chana Dal 2 kg,2.0,180.0,122.0,JioMart,DalsAndPulses
Good Life Moong Dal 500 g,0.5,92.0,70.0,JioMart,DalsAndPulses
Good Life Masoor Dal 500 g,0.5,62.0,55.0,JioMart,DalsAndPulses
Good Life Moong Dal 1 kg,1.0,182.0,139.0,JioMart,DalsAndPulses
Lauki (Bottle Gourd) 1 kg,1.0,0.0,34.0,JioMart,FruitsAndVegitables
Green Capsicum 500 g ,0.5,0.0,47.5,JioMart,FruitsAndVegitables
Potato 1 kg (Pack),1.0,0.0,22.0,JioMart,FruitsAndVegitables
Bitter Gourd 1 Kg,1.0,0.0,49.0,JioMart,FruitsAndVegitables
Cabbage 1 pc,1.0,0.0,30.0,JioMart,FruitsAndVegitables
Carrot Regular 1 kg ,1.0,0.0,49.0,JioMart,FruitsAndVegitables
Pumpkin Slice 1 Kg,1.0,0.0,14.0,JioMart,FruitsAndVegitables
Raw Mango 1 kg ,1.0,0.0,39.0,JioMart,FruitsAndVegitables
Tomato 1 kg ,1.0,0.0,39.0,JioMart,FruitsAndVegitables
Pointed Gourd 1 Kg,1.0,0.0,34.0,JioMart,FruitsAndVegitables
Turai (Ridge Gourd) 1 kg ,1.0,0.0,49.0,JioMart,FruitsAndVegitables
Sweet Corn 1 pc,1.0,0.0,14.0,JioMart,FruitsAndVegitables
Coconut 1 pc,1.0,0.0,35.0,JioMart,FruitsAndVegitables
Onion 1 kg (Pack),1.0,0.0,19.0,JioMart,FruitsAndVegitables
Dukes Masala Nibbles 150 g,0.15,50.0,35.0,JioMart,BiscuitsAndCookies
Dukes Waffy Strawberry Flavoured Wafers 75 g,75.0,45.0,22.5,JioMart,BiscuitsAndCookies
